Nmin analysed with method XXX at Wiesengut, ? AOL, unit: kg/ha;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Trial;sampling date;treatment ;plot ID;Formelcheck treatment;main crop;soil depth;Nmin kg/ha;data source;comment
trial C;2014-03-11;1;1;1;;75-105cm;3,942085256;;
trial C;2014-03-11;2;2;2;;0-30cm;14,29031899;;
trial C;2014-03-11;2;2;2;;30-45cm;5,546324434;;
trial C;2014-03-11;2;2;2;;45-75cm;3,637797608;;
trial C;2014-03-11;2;2;2;;75-105cm;2,857183744;;
trial C;2014-03-11;3;3;3;;0-30cm;10,31687952;;
trial C;2014-03-11;3;3;3;;30-45cm;2,949254638;;
trial C;2014-03-11;3;3;3;;45-75cm;4,089064116;;
trial C;2014-03-11;3;3;3;;75-105cm;2,498014655;;
trial C;2014-03-11;4;4;4;;0-30cm;43,07873659;;
trial C;2014-03-11;4;4;4;;30-45cm;8,658004958;;
trial C;2014-03-11;4;4;4;;45-75cm;4,481984407;;
trial C;2014-03-11;4;4;4;;75-105cm;3,049805755;;
trial C;2014-03-11;5;5;5;;0-30cm;11,1122023;;
trial C;2014-03-11;5;5;5;;30-45cm;5,575307031;;
trial C;2014-03-11;5;5;5;;45-75cm;5,233194579;;
trial C;2014-03-11;5;5;5;;75-105cm;3,293351195;;
trial C;2014-03-11;6;6;6;;0-30cm;12,67773102;;
trial C;2014-03-11;6;6;6;;30-45cm;3,892447941;;
trial C;2014-03-11;6;6;6;;45-75cm;4,016640444;;
trial C;2014-03-11;6;6;6;;75-105cm;5,190979761;;
trial C;2014-03-11;5;7;5;;0-30cm;11,05624585;;
trial C;2014-03-11;5;7;5;;30-45cm;4,105311601;;
trial C;2014-03-11;5;7;5;;45-75cm;3,653034228;;
trial C;2014-03-11;5;7;5;;75-105cm;4,025820896;;
trial C;2014-03-11;6;8;6;;0-30cm;12,05953241;;
trial C;2014-03-11;6;8;6;;30-45cm;3,972490218;;
trial C;2014-03-11;6;8;6;;45-75cm;3,318992033;;
trial C;2014-03-11;6;8;6;;75-105cm;2,71725018;;
trial C;2014-03-11;4;9;4;;0-30cm;53,95074463;;
trial C;2014-03-11;4;9;4;;30-45cm;10,15687937;;
trial C;2014-03-11;4;9;4;;45-75cm;11,58734118;;
trial C;2014-03-11;4;9;4;;75-105cm;5,196760563;;
trial C;2014-03-11;3;10;3;;0-30cm;7,508799851;;
trial C;2014-03-11;3;10;3;;30-45cm;11,52494004;;
trial C;2014-03-11;3;10;3;;45-75cm;3,256677187;;
trial C;2014-03-11;3;10;3;;75-105cm;3,008865586;;
trial C;2014-03-11;1;11;1;;0-30cm;16,90977543;;
trial C;2014-03-11;1;11;1;;30-45cm;7,082658999;;
trial C;2014-03-11;1;11;1;;45-75cm;3,822711864;;
trial C;2014-03-11;1;11;1;;75-105cm;2,809735828;;
trial C;2014-03-11;2;12;2;;0-30cm;16,41200405;;
trial C;2014-03-11;2;12;2;;30-45cm;9,394949027;;
trial C;2014-03-11;2;12;2;;45-75cm;2,444404517;;
trial C;2014-03-11;2;12;2;;75-105cm;2,220726471;;
trial C;2014-03-11;2;13;2;;0-30cm;7,47512881;;
